model;param;initial;lower_limit;upper_limit;provided_initial
dps;local beta_missingincome_shop = 0.459;5.414175698;3.414175698;7.414175698;0.459
dps;local beta_missingincome_others = 0.544;-5.869211751;-7.869211751;-3.869211751;0.544
dps;local beta_zero_car_work = 0;4.144961957;2.144961957;6.144961957;0
dps;local beta_zero_car_others = 0;-2.317477824;-4.317477824;-0.317477824;0
dps;local beta_one_car_work = -1.49;0.914451333;-5;5;-1.49
dps;local beta_one_car_edu = 0;-1.656247828;-3.656247828;0.343752172;0
dps;local beta_one_car_shop = 0.429;9.7288217;7.7288217;11.7288217;0.429
dps;local beta_one_car_others = 1.49;2.771633095;0.771633095;4.771633095;1.49
dps;local beta_twoplus_car_work = 1.48;-2.173443568;-5;5;1.48
dps;local beta_twoplus_car_edu = 0;-4.381607642;-6.381607642;-2.381607642;0
dps;local beta_motoravail_work = -0.485;-0.159615684;-2.159615684;1.840384316;-0.485
dps;local beta_motoravail_edu = 0;-3.947422128;-5.947422128;-1.947422128;0
dps;local beta_motoravail_others = -0.0091;-2.919018783;-4.919018783;-0.919018783;-0.0091
dps;local beta_onestop = 0;-3.675494971;-5.675494971;-1.675494971;0
dps;local beta_work_logsum = 0.2;0.269638897;-1.730361103;2.269638897;0.2
dps;local beta_edu_logsum = 0;0.90297138;-1.09702862;2.90297138;0
dps;local beta_shopping_logsum = 0;-3.238291243;-5.238291243;-1.238291243;0
dps;local beta_other_logsum = 0;-3.831970171;-5.831970171;-1.831970171;0
dps;local beta_workedu_ss = 0;1.771427577;-0.228572423;3.771427577;0
dps;local beta_workshop_ss = 0;3.255003364;1.255003364;5.255003364;0
dps;local beta_workothers_ss = 4.08;3.689235153;1.689235153;5.689235153;4.08
dps;local beta_edushop_ss = 0;-3.743315047;-5.743315047;-1.743315047;0
dps;local beta_eduothers_ss = 0.986;2.504308766;0.504308766;4.504308766;0.986
dpt;local beta_tour_work = 12.375;-2.806280861;-10;10;12.375
dpt;local beta_tour_shop = -2;-8.477897093;-10.47789709;-6.477897093;-2
dpt;local beta_tour_others = -2.7;-4.827579711;-6.827579711;-2.827579711;-2.7
dpt;local beta_workshop_tt = 2.52;1.53310971;-5;5;2.52
dpt;local beta_workothers_tt = 2.99;0.870994132;-5;5;2.99
dpt;local beta_eduothers_tt = -0.375;2.510617443;0.510617443;4.510617443;-0.375
dpt;local beta_shopothers_tt = 0.355;0.149535073;-1.850464927;2.149535073;0.355
dpt;local beta_workedu_tt = -3.82;-5.502586833;-7.502586833;-3.502586833;-3.82
dpt;local beta_workshopother_tt = -3.29;-7.811111446;-9.811111446;-5.811111446;-3.29
dpt;local beta_universitystudent_work = -999;-1;-3;1;-999
dpt;local beta_universitystudent_edu = 0;3.504999204;1.504999204;5.504999204;0
dpt;local beta_universitystudent_shop = 0;-2.025537615;-4.025537615;-0.025537615;0
dpt;local beta_universitystudent_others = 2.59;-1.810430017;-3.810430017;0.189569983;2.59
dpt;local beta_retired_work = -999;-8;-10;10;-999
dpt;local beta_retired_edu = 0;0;-2;2;0
dpt;local beta_retired_shop = 4.41;4.562238239;2.562238239;6.562238239;4.41
dpt;local beta_retired_others = 7.23;5.566346887;3.566346887;7.566346887;7.23
dpt;local beta_unemployed_edu = 0;-1.204414167;-3.204414167;0.795585833;0
dpt;local beta_unemployed_shop = 4.56;2.438621669;0.438621669;4.438621669;4.56
dpt;local beta_unemployed_others = 7.41;-0.127886772;-2.127886772;1.872113228;7.41
dpt;local beta_student16_edu = 0;-2.211767367;-4.211767367;-0.211767367;0
dpt;local beta_student16_shop = 1.56;4.4529962;2.4529962;6.4529962;1.56
dpt;local beta_student16_others = 3.75;6.694158639;4.694158639;8.694158639;3.75
dpt;local beta_student515_edu = 0;0.397979435;-1.602020565;2.397979435;0
dpt;local beta_child4_work = -999;0;-5;5;-999
dpt;local beta_child4_edu = 0;3.59097579;1.59097579;5.59097579;0
dpt;local beta_child4_shop = 0;0.201832088;-1.798167912;2.201832088;0
dpt;local beta_child4_others = 0;3.380498732;1.380498732;5.380498732;0
dpt;local beta_age2025_work = 0.189;-0.771003948;-5;5;0.189
dpt;local beta_age2025_shop = -1.05;-5.2125495;-7.2125495;-3.2125495;-1.05
dpt;local beta_age2635_work = 0.769;0.769;-5;5;0.769
dpt;local beta_age2635_edu = 0;6.614025337;4.614025337;8.614025337;0
dpt;local beta_age2635_shop = 0.866;-0.311010756;-2.311010756;1.688989244;0.866
dpt;local beta_age5165_work = 0;0;-5;5;0
dpt;local beta_age5165_edu = 0;-3.167994451;-5.167994451;-1.167994451;0
dpt;local beta_age5165_shop = 0;1.088389424;-0.911610576;3.088389424;0
dpt;local beta_age5165_others = 0;1.363629203;-0.636370797;3.363629203;0
dpt;local beta_maleage4_work = 0.563;7.038249681;-5;5;0.563
dpt;local beta_maleage4_edu = 0;0.835858875;-1.164141125;2.835858875;0
dpt;local beta_maleage4_shop = 0.777;7.006714927;5.006714927;9.006714927;0.777
dpt;local beta_maleage515_work = -0.0965;-2.713908965;-5;5;-0.0965
dpt;local beta_maleage515_edu = 0;1.278246566;-0.721753434;3.278246566;0
dpt;local beta_maleage515_shop = -0.472;7.810321264;5.810321264;9.810321264;-0.472
dpt;local beta_maleage515_others = 0.519;-3.195500521;-5.195500521;-1.195500521;0.519
dpt;local beta_femalenone_work = -0.529;-1.386321622;-5;5;-0.529
dpt;local beta_femalenone_edu = 0;-5.454244514;-7.454244514;-3.454244514;0
dpt;local beta_femalenone_shop = 0.627;0.748125348;-1.251874652;2.748125348;0.627
dpt;local beta_femaleage4_work = -1.13;0.41699499;-5;5;-1.13
dpt;local beta_femaleage4_edu = 0;-3.416642907;-5.416642907;-1.416642907;0
dpt;local beta_femaleage4_shop = 0.553;3.674735273;1.674735273;5.674735273;0.553
dpt;local beta_femaleage4_others = -0.149;-0.502288171;-2.502288171;1.497711829;-0.149
dpt;local beta_femaleage515_work = -0.531;0.379160227;-5;5;-0.531
dpt;local beta_femaleage515_edu = 0;4.049099011;2.049099011;6.049099011;0
dpt;local beta_femaleage515_shop = 0.564;-5.100951177;-7.100951177;-3.100951177;0.564
dpt;local beta_femaleage515_others = 0.192;2.531685455;0.531685455;4.531685455;0.192
dpt;local beta_onlyadults_work = 1;2.312410193;-5;5;1
dpt;local beta_onlyadults_edu = 0;2;0;4;0
dpt;local beta_onlyadults_shop = -0.354;1.676672006;-0.323327994;3.676672006;-0.354
dpt;local beta_onlyadults_others = 0.174;-0.168118986;-2.168118986;1.831881014;0.174
dpt;local beta_onlyworkers_work = 1.97;-1;-5;5;1.97
dpt;local beta_onlyworkers_others = 0.688;-7.168498617;-9.168498617;-5.168498617;0.688
dpt;local beta_income_work = 1.51;1.51;-5;5;1.51
dpt;local beta_income_edu = 0;4.510756942;2.510756942;6.510756942;0
dpt;local beta_income_shop = -0.781;-0.778851764;-2.778851764;1.221148236;-0.781
dpt;local beta_missingincome_work = 5.52;5.52;-5;5;5.52
dpt;local beta_missingincome_edu = 0;-2.450274169;-4.450274169;-0.450274169;0
dpt;local beta_missingincome_shop = -0.550;-0.79069455;-2.79069455;1.20930545;-0.55
dpt;local beta_zero_car_work = 0;-5.162955274;-8;5;0
dpt;local beta_zero_car_edu = 0;0.67363948;-1.32636052;2.67363948;0
dpt;local beta_zero_car_shop = 0;-4.301566014;-6.301566014;-2.301566014;0
dpt;local beta_zero_car_others = 0;5.998154867;3.998154867;7.998154867;0
dpt;local beta_one_car_work = 1;11.38724769;-10;10;1
dpt;local beta_one_car_edu = 0;0.444131053;-1.555868947;2.444131053;0
dpt;local beta_one_car_shop = 1.69;-5.480553969;-7.480553969;-3.480553969;1.69
dpt;local beta_twoplus_car_work = 1;1;-3;3;1
dpt;local beta_twoplus_car_shop = 1.32;2.988004344;0.988004344;4.988004344;1.32
dpt;local beta_twoplus_car_others = 1.71;-1.298010105;-3.298010105;0.701989895;1.71
dpt;local beta_motoravail_work = 1.15;4.106656549;2.106656549;6.106656549;1.15
dpt;local beta_motoravail_edu = 0;0.306956158;-1.693043842;2.306956158;0
dpt;local beta_motoravail_shop = 0.896;5.224670955;3.224670955;7.224670955;0.896
dpt;local beta_onetour = 0;-9.18616051;-11.18616051;-7.18616051;0
dpt;local beta_work_logsum = 0.30;1.428300829;-0.571699171;3.428300829;0.3
dpt;local beta_edu_logsum = 0;-0.425629338;-2.425629338;1.574370662;0
dpt;local beta_shopping_logsum = 0.262;7.391759433;5.391759433;9.391759433;0.262
dpt;local beta_other_logsum = 0.301;-5.405426709;-7.405426709;-3.405426709;0.301
tmdo;local beta_cost_drive1_1 = -10;-10;-15;0;-10
tmdo;local beta_cost_share2_1 = -11;-11;-15;0;-11
tmdo;local beta_cost_share3_1 = -11;-11;-15;0;-11
tmdo;local beta_cost_motor_1 = 0;0;-2;2;0
tmdo;local beta_cost_drive1_2 = -7;-7;-15;0;-7
tmdo;local beta_cost_share2_2 = -8;0;-15;0;-8
tmdo;local beta_cost_share3_2 = -8;0;-15;0;-8
tmdo;local beta_cost_motor_2 = 0;0;-2;2;0
