model;param;initial;lower_limit;upper_limit;provided_initial
tme;local beta_university_student_share2 = 0.267;0.267;-1.733;2.267;0.267
tme;local beta_university_student_share3 = 0;0;-2;2;0
tme;local beta_university_student_motor = 0;0;-2;2;0
tme;local beta_university_student_walk = 0;0;-2;2;0
tme;local beta_distance_motor = 0;0;-2;2;0
tmw;bundled_variables.beta_cons_bus = -0.1;-0.1;-10;10;-0.1
tmw;bundled_variables.beta_cons_mrt = -2;-2;-4;0;-2
tmw;bundled_variables.beta_cons_drive1 = -10;-10;-15;5;-10
tmw;bundled_variables.beta_cons_share2 = -10;-10;-15;5;-10
tmw;bundled_variables.beta_cons_share3 = -11;-11;-15;5;-11
tmw;bundled_variables.beta_cons_motor = -0.042;-0.042;-2.042;1.958;-0.042
tmw;bundled_variables.beta_cons_walk = -4.5;-4.5;-8;8;-4.5
tmw;local beta1_1_tt = -0.1;-0.1;-15;0;-0.1
tmw;local beta1_2_tt = -0.1;-0.1;-15;0;-0.1
tmw;local beta1_3_tt = -0.1;-0.1;-15;0;-0.1
tmw;local beta2_tt_drive1 = -7;-7;-15;0;-7
tmw;local beta2_tt_share2 = -7;-7;-15;0;-7
tmw;local beta2_tt_share3 = -6;-6;-15;0;-6
tmw;local beta2_tt_motor = -0.897;-0.897;-2.897;1.103;-0.897
tmw;bundled_variables.beta_tt_walk = -4;-4;-6;-2;-4
tmw;bundled_variables.beta_tt_taxi = -1.17;-1.17;-3;3;-1.17
tmw;local beta6_1_cost = -6.16;-6.16;-8.16;-4.16;-6.16
tmw;local beta6_2_cost = -0.04;-0.04;-2.04;1.96;-0.04
tmw;local beta7_1_cost = -8.34;-8.34;-10.34;-6.34;-8.34
tmw;local beta7_2_cost = -0.0383;-0.0383;-2.0383;1.9617;-0.0383
tmw;local beta8_1_cost = -7.96;-7.96;-9.96;-5.96;-7.96
tmw;local beta8_2_cost = -0.0332;-0.0332;-2.0332;1.9668;-0.0332
tmw;local beta9_1_cost = -6.74;-6.74;-8.74;-4.74;-6.74
tmw;local beta9_2_cost = -0.0455;-0.0455;-2.0455;1.9545;-0.0455
tmw;bundled_variables.beta_central_bus = 2;2;-10;10;2
tmw;bundled_variables.beta_central_mrt = 1.13;1.13;-0.87;3.13;1.13
tmw;bundled_variables.beta_central_share2 = -0.5;-0.5;-10;0;-0.5
tmw;bundled_variables.beta_central_share3 = -0.8;-0.8;-10;0;-0.8
tmw;bundled_variables.beta_central_motor = 0.300;0.3;-1.7;2.3;0.3
tmw;bundled_variables.beta_central_walk = 0;0;-10;10;0
tmw;bundled_variables.beta_female_oneplus_bus = 1.73;1.73;-0.27;3.73;1.73
tmw;bundled_variables.beta_female_twoplus_bus = 0;0;-2;2;0
tmw;bundled_variables.beta_female_oneplus_mrt = 1.73;1.73;-0.27;3.73;1.73
tmw;bundled_variables.beta_female_twoplus_mrt = 0;0;-2;2;0
tmw;bundled_variables.beta_female_oneplus_drive1 = 0;0;-2;2;0
tmw;bundled_variables.beta_female_twoplus_drive1 = -0.708;-0.708;-2.708;1.292;-0.708
tmw;bundled_variables.beta_female_oneplus_share2 = 1.57;1.57;-0.43;3.57;1.57
tmw;bundled_variables.beta_female_twoplus_share2 = -1.54;-1.54;-3.54;0.46;-1.54
tmw;bundled_variables.beta_female_oneplus_share3 = 1.38;1.38;-0.62;3.38;1.38
tmw;bundled_variables.beta_female_twoplus_share3 = -0.560;-0.56;-2.56;1.44;-0.56
tmw;bundled_variables.beta_female_oneplus_motor = -3.33;-3.33;-5.33;-1.33;-3.33
tmw;bundled_variables.beta_female_twoplus_motor = 0;0;-2;2;0
tmw;bundled_variables.beta_female_oneplus_walk = 1.36;1.36;-0.64;3.36;1.36
tmw;bundled_variables.beta_female_twoplus_walk = 0;0;-2;2;0
tmw;bundled_variables.beta_zero_bus = 1;1;-1;3;1
tmw;bundled_variables.beta_oneplus_bus = -0.61;-0.61;-2.61;1.39;-0.61
tmw;bundled_variables.beta_twoplus_bus = 0.384;0.384;-1.616;2.384;0.384
tmw;bundled_variables.beta_threeplus_bus = 0;0;-2;2;0
tmw;bundled_variables.beta_zero_mrt = 0;0;-2;2;0
tmw;bundled_variables.beta_oneplus_mrt = -1.43;-1.43;-3.43;0.57;-1.43
tmw;bundled_variables.beta_twoplus_mrt = 0.525;0.525;-1.475;2.525;0.525
tmw;bundled_variables.beta_threeplus_mrt = 0;0;-2;2;0
tmw;bundled_variables.beta_zero_drive1 = 0;0;-2;2;0
tmw;bundled_variables.beta_oneplus_drive1 = 0;0;-2;2;0
tmw;bundled_variables.beta_twoplus_drive1 = 0;0;-2;2;0
tmw;bundled_variables.beta_threeplus_drive1 = 0;0;-2;2;0
tmw;bundled_variables.beta_zero_share2 = 0;0;-2;2;0
tmw;bundled_variables.beta_oneplus_share2 = 1.31;1.31;-0.69;3.31;1.31
tmw;bundled_variables.beta_twoplus_share2 = 1.20;1.2;-0.8;3.2;1.2
tmw;bundled_variables.beta_threeplus_share2 = 0;0;-2;2;0
tmw;bundled_variables.beta_zero_share3 = 0;0;-2;2;0
tmw;bundled_variables.beta_oneplus_share3 = 0.562;0.562;-1.438;2.562;0.562
tmw;bundled_variables.beta_twoplus_share3 = 0;0;-2;2;0
tmw;bundled_variables.beta_threeplus_share3 = 0;0;-2;2;0
tmw;bundled_variables.beta_zero_motor_car = 0;0;-2;2;0
tmw;bundled_variables.beta_oneplus_motor_car = -0.550;-0.55;-2.55;1.45;-0.55
tmw;bundled_variables.beta_twoplus_motor_car = -0.0800;-0.08;-2.08;1.92;-0.08
tmw;bundled_variables.beta_threeplus_motor_car= 0;0;-2;2;0
tmw;bundled_variables.beta_zero_walk = 0;0;-2;2;0
tmw;bundled_variables.beta_oneplus_walk = 0;0;-2;2;0
tmw;bundled_variables.beta_twoplus_walk = 0;0;-2;2;0
tmw;bundled_variables.beta_threeplus_walk = 0;0;-2;2;0
tmw;bundled_variables.beta_zero_motor = 0;0;-2;2;0
tmw;bundled_variables.beta_oneplus_motor = 8.2;8.2;6.2;10.2;8.2
tmw;bundled_variables.beta_twoplus_motor = 0.238;0.238;-1.762;2.238;0.238
tmw;bundled_variables.beta_threeplus_motor = 0.0613;0.0613;-1.9387;2.0613;0.0613
tmw;bundled_variables.beta_transfer = -0.0757;-0.0757;-2.0757;1.9243;-0.0757
tmw;bundled_variables.beta_distance = 0;0;-2;2;0
tmw;bundled_variables.beta_residence = 0.0532;0.0532;-1.9468;2.0532;0.0532
tmw;bundled_variables.beta_residence_2 = 0;0;-2;2;0
