model,param,module,include,initial,lower_limit,upper_limit,provided_initial
dps,local beta_child4_work = 0,preday,TRUE,-9.794034435,-10,10,0
dps,local beta_child4_edu = 0,preday,TRUE,2.433764308,0.433764308,4.433764308,0
dps,local beta_child4_shop = 0,preday,TRUE,-2.105099933,-4.105099933,-0.105099933,0
dps,local beta_child4_others = 0,preday,TRUE,0,0,0,0
dps,local beta_age2025_work = 0.541,preday,TRUE,-1.077268739,-10,10,0.541
dps,local beta_age2025_edu = 0,preday,TRUE,7.881225684,5.881225684,9.881225684,0
dps,local beta_age2025_shop = 0.533,preday,TRUE,1.4029717,-0.5970283,3.4029717,0.533
dps,local beta_age2025_others = -0.654,preday,TRUE,-7.301013481,-9.301013481,-5.301013481,-0.654
dps,local beta_age2635_work = -0.0821,preday,TRUE,6.487268731,2,10,-0.0821
dps,local beta_age2635_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_age2635_shop = 0.295,preday,TRUE,6.607298617,4.607298617,8.607298617,0.295
dps,local beta_age2635_others = 0,preday,TRUE,0,0,0,0
dps,local beta_age5165_work = 0,preday,TRUE,-3.252137714,-5,5,0
dps,local beta_age5165_edu = 0,preday,TRUE,-4.441556079,-6.441556079,-2.441556079,0
dps,local beta_age5165_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_age5165_others = 0,preday,TRUE,0,0,0,0
dps,local beta_maleage4_work = 0.0552,preday,TRUE,-0.474372021,-5,5,0.0552
dps,local beta_maleage4_edu = 0,preday,TRUE,9.69312,7.69312,11.69312,0
dps,local beta_maleage4_shop = -1.05,preday,TRUE,2.132409529,0.132409529,4.132409529,-1.05
dps,local beta_maleage4_others = 0.268,preday,TRUE,3.759038285,1.759038285,5.759038285,0.268
dps,local beta_maleage515_work = 0.119,preday,TRUE,0.055704424,-5,5,0.119
dps,local beta_maleage515_edu = 0,preday,TRUE,5.299706126,3.299706126,7.299706126,0
dps,local beta_maleage515_shop = -0.871,preday,TRUE,-3.487335255,-5.487335255,-1.487335255,-0.871
dps,local beta_maleage515_others = 0.482,preday,TRUE,-3.563414198,-5.563414198,-1.563414198,0.482
dps,local beta_femalenone_work = -0.528,preday,TRUE,2.064658121,-5,5,-0.528
dps,local beta_femalenone_edu = 0,preday,TRUE,-3.995550483,-5.995550483,-1.995550483,0
dps,local beta_femalenone_shop = 0.618,preday,TRUE,3.318251902,1.318251902,5.318251902,0.618
dps,local beta_femalenone_others = -0.318,preday,TRUE,-0.318,-0.318,-0.318,-0.318
dps,local beta_femaleage4_work = 0.382,preday,TRUE,-3.84800245,-5,5,0.382
dps,local beta_femaleage4_edu = 0,preday,TRUE,1.645077027,-0.354922973,3.645077027,0
dps,local beta_femaleage4_shop = 0.132,preday,TRUE,-1.176802512,-3.176802512,0.823197488,0.132
dps,local beta_femaleage4_others = 0.242,preday,TRUE,-1.557051647,-3.557051647,0.442948353,0.242
dps,local beta_femaleage515_work = -0.343,preday,TRUE,-1.347404106,-5,5,-0.343
dps,local beta_femaleage515_edu = 0,preday,TRUE,6.417876317,4.417876317,8.417876317,0
dps,local beta_femaleage515_shop = 0.391,preday,TRUE,-5.325430302,-7.325430302,-3.325430302,0.391
dps,local beta_femaleage515_others = 0.285,preday,TRUE,-13.15500814,-15.15500814,-11.15500814,0.285
dps,local beta_onlyadults_work = 0.372,preday,TRUE,0.372,-5,5,0.372
dps,local beta_onlyadults_edu = 0,preday,TRUE,-8.477074727,-10.47707473,-6.477074727,0
dps,local beta_onlyadults_shop = -0.173,preday,TRUE,-4.713273365,-6.713273365,-2.713273365,-0.173
dps,local beta_onlyadults_others = -0.158,preday,TRUE,-0.158,-0.158,-0.158,-0.158
dps,local beta_onlyworkers_work = -0.235,preday,TRUE,-1,-5,5,-0.235
dps,local beta_onlyworkers_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_onlyworkers_shop = 0.0257,preday,TRUE,-0.799810264,-2.799810264,1.200189736,0.0257
dps,local beta_onlyworkers_others = 0.408,preday,TRUE,0.408,0.408,0.408,0.408
dps,local beta_income_work = 0.413,preday,TRUE,-2.544376176,-5,5,0.413
dps,local beta_income_edu = 0,preday,TRUE,-1.546794347,-3.546794347,0.453205653,0
dps,local beta_income_shop = 0.147,preday,TRUE,0.271673365,-1.728326635,2.271673365,0.147
